"""nevada secretary of state says 21 noncitizens could have voted for president in her state""",0
"""wild-eyed sears ceo convinced these the flannel pajama pants that will turn everything around""",1
"""tired of the cat eye? try this liner trick instead""",0
"""here is how senate republicans try to hide the damage of their repeal bill""",0
"""dunkin' donuts/baskin robbins/pizza hut/taco bell/long john silver's opens""",1
"""cia chief admits to torture after six-hour beating, electrocution""",1
"""'suicide squad' heads for record-breaking $145 million plus opening weekend""",0
"""greece sees slight uptick in refugee arrivals in august""",0
"""49ers stunned in ot loss to chargers""",0
"""new energy secretary guesses he ought to read up on energy""",1
"""sports section tragically missing""",1
"""these stunning photos capture the loneliness of insomnia""",0
"""the secret key to navigating change: your inner compass""",0
"""trump launches another sexist tweet in newest attack on 'morning joe' hosts""",0
"""huffpollster: california's democratic primary looks closer than ever""",0
"""what a hillary clinton nomination means for the glass ceiling (hint: not much)""",0
"""desperate gop spotted in south dakota trying to build keystone pipeline themselves""",1
"""childhood brain injury tied to adult anxiety, depression""",0
"""trump expels 60 russians, closes russian consulate in seattle after uk chemical attack""",0
"""this may be holding you back from repairing a broken relationship""",0
"""2015 u.s. best ranked cities for hotels""",0
"""'the simpsons' duff beer will soon be a reality""",0
"""isis laid booby-traps all over mosul to kill, injure returning civilians""",0
"""ups guy hasn't heard a doorbell like that one in a while""",1
"""beautiful birth marred by hideous afterbirth""",1
"""suburban family invests hopes, dreams in gas grill""",1
"""russia's power shut off""",1
"""john oliver lays out the most disturbing ways in which trump impacts america""",0
"""things you say in emails vs. how you look typing them""",0
"""james corden takes his feud with usain bolt to hilarious new heights""",0
"""robert mueller ascends into sky with umbrella after trump family promises they learned lesson about honesty""",1
"""damning video surfaces of trump accepting gop nomination for president""",1
"""mom has stacked dinner party roster""",1
"""will the real jesus please stand up?""",0
"""trump's goon squads""",0
"""no matter what happens in the gop primary, a lot of republicans won't be happy""",0
"""more than 130,000 vaccine doses reportedly destroyed in syria after attack""",0
"""kim jong-un comes out in support of gay marriage: 'i'm not a monster'""",1
"""these hilarious 'hacks' for organizing your kid's bookshelf are spot-on""",0
"""taylor swift threw lorde a celeb-filled birthday party fit for royals""",0
"""mark wahlberg missed his brother's wedding""",0
"""swedish police featured in film shown by fox news say they were selectively edited""",0
"""obama visits south-carolina-ravaged south carolina""",1
"""florida sheriff rebukes nra spokeswoman who claims she's 'fighting' for shooting survivors""",0
"""emails: how the obama administration secretly approved expanding piece of enbridge's ""keystone xl clone""""",0
"""adele opens up about her private life, squad goals and new album""",0
"""rnc chair says they lose acting normal, so why not give trump a shot""",0
"""this enchanting 'beauty and the beast' proposal is pure fairy tale magic""",0
"""stop what you're doing and watch chuck schumer bust a move""",0
"""military aides try to cheer up kim jong-un after failed missile launch by putting on surprise execution""",1
"""video appears to show 76er jahlil okafor in street fight""",0
"""your backyard burgers are bursting with gross bacteria""",0
"""space shuttle endeavour: what's in it for me?""",1
"""exasperated james holmes requests media stop calling him 'alleged' colorado shooter""",1
"""the lawsuit against black lives matter and the central meaning of the first amendment""",0
"""3 little reminders that put love into perspective""",0
"""senator: russian trolls stoked nfl debate""",0
"""supporting grieving kids – an opportunity and an obligation""",0
"""report: things finally as bad as trump claims""",1
"""nascar bed bursts into flames""",1
"""a guy crashes through a table in snow to celebrate ncaa tournament upset""",0
"""5 ways to get more out of your classes this fall""",0
"""the science-backed reason to see your therapist in the morning""",0
"""national security council distracted by whimpering jared kushner pawing at door throughout meeting""",1
"""'toy story 4' coming to theaters in 2019""",0
"""parents don't remember enough colors to help with kindergartner's homework""",1
"""how to future proof your workplace""",0
"""19 women react to the messy, imperfect 'girls' finale""",0
"""a valentine for my best friend: my life wouldn't be the same without you""",0
"""the best chance to defeat roy moore may be for the democratic party to lie low""",0
"""area man gets terrible creative juices flowing""",1
"""americans outraged amazon's punishing work culture has yet to yield same-day shipping for all products""",1
"""our nation's truckers: are we meeting their pancake needs?""",1
"""mother proud she raised type of person no one would ever believe would rape someone""",1
"""watch your favorite musicians perform 'the hamilton mixtape' live""",0
"""budget cuts force british government to shut down mysterious seaside village""",1
"""dogs, humans, and the oxytocin-mediated strong social bond""",0
"""an american dreamer in the age of trump""",0
"""is america's president a russian asset?""",0
"""i was pranked by muhammed ali""",0
"""the new new net neutrality""",0
"""3 dead after car plows into group of trick-or-treaters""",0
"""surgeon general recommends twisting head far enough until you hear little pop""",1
"""cadbury's chocolate will no longer be imported from the u.k. and everyone is depressed""",0
"""snowstorm in chicago delays hundreds of morning murders""",1
"""image vs. substance in your self-made journey""",0
"""new, lighter iphone hailed by exhausted, humpbacked iphone 4 users""",1
"""tea party candidate doesn't want to be associated with the tea party""",0
"""6 new jersey newspapers call on christie to resign""",0
"""ducks only interested in man's bread""",1
"""report: limbo competition nation's last example of pure meritocracy""",1
"""ruthless, powerful ceo has become very thing he loves most""",1
"""study predicts 200 feet of sea level rise if all fossil fuels are burned""",0
"""win a $10,000 mall of america dream shooting spree!""",1
"""42 maximum-security inmates in utah prison begin hunger strike""",0
"""starfucker gives stephen baldwin a hand job""",1
"""new photos of kit harington give 'got' fans hope""",0
"""net neutrality is not a leftist cause""",0
"""the biggest celebrity fails of 2015""",0
"""mueller ain't going away""",0
"""32 gifts people with anxiety really want for the holidays""",0
"""blake lively explains the touching reason she joined the women's march""",0
"""'97 camaros to come with pubescent mustaches""",1
"""god planning to get rid of harsh shadows by adding second sun""",1
"""'secretary clinton is a different person than donald trump,' says bernie sanders in ringing endorsement""",1
"""amazon reaches 1 trillion labor violations""",1
"""khloe kardashian poses braless for women's health and looks amazing""",0
"""dubious inclusions damage credibility of entire record collection""",1
"""grieving losses other than death""",0
"""john kerry jettisons russian henchmen from international space station airlock""",1
"""novelty alarm clock not so funny at 7 a.m.""",1
"""sean spicer says donald trump is a 'champion' of first amendment""",0
"""two gay texans open up about building their dream family""",0
"""obamacare repeal would knock 10 percent of this state off health insurance""",0
"""the conundrum of the midterms""",0
"""senate republicans seek to delay kavanaugh vote until accuser properly smeared""",1
"""nation's schools to ensure bullied transgender students hide in stalls of bathrooms corresponding to biological sex""",1
"""california bans pet shop sales of non-rescue cats, dogs and rabbits""",0
"""every glass in grandmother's cupboard visibly filthy""",1
"""transgender inmates to be integrated according to identity in san francisco""",0
"""american richard thaler wins nobel economics prize""",0
"""not even he can mess this up""",0
"""these astronauts hugged it out in response to reporter's question about political tension""",0
"""zapp institute adjusts bounce/ounce ratio""",1
"""archaeologists: egyptian pyramids actually early attempt at camping""",1
"""the one word that shifted my attitude about fear""",0
"""hillary clinton suspended 3 weeks by fec for spitting on volunteer""",1
"""the importance of celebrating the little wins""",0
"""cat with sunglasses is next-level chill""",0
"""calls to lgbtq mental health hotlines rise after trump's anti-transgender action""",0
"""report: u.s. economy loses $20 billion annually to americans writing ideas down illegibly""",1
"""friends regret encouraging man to say what's on his mind""",1
"""angelina jolie refutes vanity fair's portrayal of controversial auditions""",0
"""jared kushner went to iraq and couldn't have looked more out of place""",0
"""aging father struggling to keep family's personal failings straight""",1
"""single mother working 3 minimum-wage jobs just trying not to live in the moment""",1
"""'you got it' trademarked""",1
"""romney goes after obama with powerpoint presentation""",0
"""things get chilly between ted cruz and marco rubio""",0
"""woman wonders whatever happened to those rainforests she gave $5 to save that one time""",1
"""sunday roundup""",0
"""11 of the best doughnut recipes you've ever seen""",0
"""america's best 20 hikes""",0
"""should we give cops 'benefit of the doubt' when they kill unarmed people?""",0
"""man always insists you toss him keys rather than just hand them to him""",1
"""paul rudd celebrates kansas city royals' win by getting showered with beer""",0
"""serious mitt romney demanding to be addressed as 'mitthew' now""",1
"""the problem with fake news? 'real' news is bogus too""",0
"""6 things new hampshire's exit polls tell us about this election""",0
"""atlantic city votes to protect its water from chris christie""",0
"""chinese military plane makes first public landing on disputed island""",0
"""news website likes to set aside a little ad space to promote own articles""",1
"""ohio state fair accident caused by 'excessive corrosion,' ride manufacturer says""",0
"""meet the man who helps hollywood stay sober""",0
"""protesters ignored""",1
"""new biodiversity program busses in species from outside ecosystems""",1
"""weinstein company files for bankruptcy after sale talks collapse""",0
"""etiquette tips for celebrating graduations""",0
"""local man dies following short battle with gas leak explosion""",1
"""thursday's morning email: government shutdown threat looms over border wall faceoff""",0
"""here's a highlight reel of sean spicer's bumbling from 'jimmy kimmel'""",0
"""afi docs fest wraps up""",0
"""world's physicists complete study of physics""",1
"""entire treasury department competing for same goldman sachs job opening""",1
"""'after earth ii' tanks at box office""",1
"""gunman kills zero at kansas city area mall""",1
"""here's christine baranski watching trump's inauguration on 'the good fight'""",0
"""hundreds of coastal communities could face monthly floods in the coming decades""",0
"""protesters mob north korean officials ahead of olympics closing ceremony""",0
"""donald trump's diary is a window into his first 100 days in office""",0
"""monarch butterfly makes directorial debut on 'nature' episode""",1
"""fox news doctor: ben carson was right about guns and the holocaust""",0
"""report: you know you are a fucking idiot, right?""",1
"""scout returns with news of quicker checkout line to the east""",1
"""americans hopeful this will be last mass shooting before they stop on their own for no reason""",1
"""fbi reveals maria butina traded sex in exchange for all 62,984,828 votes trump received in 2016""",1
"""superintendent allegedly calls female dress code violators 'skanks'""",0
"""parents reveal the wackiest items on their kids' santa lists""",0
"""nation suddenly concerned about black man's opinion""",1
"""laura bush publishes courageous op-ed calling for imprisonment of whoever created ice""",1
"""sean spicer is irreplaceable""",0
"""'i am under 18' button clicked for first time in history of internet""",1
"""fbi agent still tasked with following noam chomsky around prepares for another day in local panera""",1
"""authorities say country still an active shooter situation""",1
"""to your health""",0
"""'how to get away with murder's' heroine gets more complex""",0
"""husband buys wife tickets to see singer she wants to fuck""",1
"""heaven installs spikes to keep cherubs from shitting on st. peter's gate""",1
"""fcc orders net neutrality to end in april""",0
"""former blackwater guard sentenced to life in prison for baghdad shooting""",0
"""last-minute advice for parents paying for college - part i""",0
"""americans trust hillary clinton over donald trump on terrorism""",0
"""duke students refuse to read 'fun home' over gay themes, nudity""",0
"""'got' season finale hints at appearance of that one big character""",0
"""if you can't keep your new year's resolutions, be kind to yourself""",0
"""astronaut piloting cargo ship leaves note on side of iss after accidentally knocking off solar array""",1
"""latest jihad has something for everyone""",1
"""political scientists trace american democracy's severe polarization to fucking idiots on other side of aisle""",1
"""a review of 'jim wallis: in conversation'""",0
